호선,역명,구주소,도로명주소,주소2,읍면동명
5호선,행당,서울특별시 성동구 행당동 317-241 행당역(5호선),서울특별시 성동구 행당로 지하89(행당동),성동구 행당로 지하89,행당제2동
5호선,왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(5호선),서울특별시 성동구 왕십리로 지하300(행당동),성동구 왕십리로 지하300,행당제1동
5호선,마장,서울특별시 성동구 마장동 804 마장역(5호선),서울특별시 성동구 마장로 지하296(마장동),성동구 마장로 지하296,마장동
5호선,답십리,서울특별시 성동구 용답동 99 답십리역(5호선),서울특별시 성동구 천호대로 지하300(용답동),성동구 천호대로 지하300,용답동
5호선,장한평,서울특별시 동대문구 장안동 472-3 장한평역(5호선),서울특별시 동대문구 천호대로 지하405(장안동),동대문구 천호대로 지하405,장안제1동
5호선,군자(능동),서울특별시 광진구 능동 275-5 군자(능동)역(5호선),서울특별시 광진구 천호대로 지하550(능동),광진구 천호대로 지하550,중곡제1동
5호선,아차산(어린이대공원후문),서울특별시 광진구 능동 256-16 5호선 아차산역(5호선),서울특별시 광진구 천호대로 지하657(능동),광진구 천호대로 지하657,능동
5호선,광나루(장신대),서울특별시 광진구 광장동 237 광나루역(5호선),서울특별시 광진구 아차산로 지하571(광장동),광진구 아차산로 지하571,광장동
5호선,천호(풍납토성),서울특별시 강동구 천호동 455 천호역(5호선),서울특별시 강동구 천호대로 지하997(천호동),강동구 천호대로 지하997,성내제2동
5호선,강동,서울특별시 강동구 천호동 447 강동역(5호선),서울특별시 강동구 천호대로 지하1097(천호동),강동구 천호대로 지하1097,성내제2동
5호선,길동,서울특별시 강동구 길동 378 길동역(5호선),서울특별시 강동구 양재대로 지하1480(길동),강동구 양재대로 지하1480,길동
5호선,굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역(5호선),서울특별시 강동구 양재대로 지하1572(명일동),강동구 양재대로 지하1572,명일제1동
5호선,명일,서울특별시 강동구 명일동 312 명일역(5호선),서울특별시 강동구 양재대로 지하1632(명일동),강동구 양재대로 지하1632,명일제1동
5호선,고덕,서울특별시 강동구 고덕동 310 고덕역(5호선),서울특별시 강동구 고덕로 지하253(고덕동),강동구 고덕로 지하253,고덕제1동
5호선,상일동,서울특별시 강동구 상일동 148 상일동역(5호선),서울특별시 강동구 고덕로 지하359(상일동),강동구 고덕로 지하359,상일1동
5호선,둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역(5호선),서울특별시 강동구 양재대로 지하1369(둔촌동),강동구 양재대로 지하1369,성내제3동
5호선,올림픽공원(한국체대),서울특별시 송파구 방이동 89-28 올림픽공원역(5호선),서울특별시 송파구 양재대로 지하1233(방이동),송파구 양재대로 지하1233,오륜동
5호선,방이,서울특별시 송파구 방이동 217-2 방이역(5호선),서울특별시 송파구 양재대로 지하1127(방이동),송파구 양재대로 지하1127,방이제1동
5호선,오금,서울특별시 송파구 오금동 44-2 오금역(5호선),서울특별시 송파구 오금로 지하321(오금동),송파구 오금로 지하321,오금동
5호선,개롱,서울특별시 송파구 가락동 165-2 개롱역(5호선),서울특별시 송파구 오금로 지하402(가락동),송파구 오금로 지하402,가락제2동
5호선,거여,서울특별시 송파구 거여동 20-14 거여역(5호선),서울특별시 송파구 오금로 지하499(거여동),송파구 오금로 지하499,거여제1동
5호선,마천,서울특별시 송파구 마천동 307-4 마천역(5호선),서울특별시 송파구 마천로57길 지하7(마천동),송파구 마천로57길 지하7,마천제1동
5호선,강일,서울특별시 강동구 상일동 산73 강일역(5호선),서울특별시 강동구 고덕로 지하456(강일동),강동구 고덕로 지하456,상일2동
6호선,응암,서울특별시 은평구 신사동 22-15 응암역(6호선),서울특별시 은평구 증산로 지하477(신사동),은평구 증산로 지하477,신사제1동
6호선,역촌,서울특별시 은평구 녹번동 153-31 역촌역(6호선),서울특별시 은평구 서오릉로 지하63(녹번동),은평구 서오릉로 지하63,녹번동
6호선,불광,서울특별시 은평구 대조동 13-10 불광역(6호선),서울특별시 은평구 통일로 지하723-1(대조동),은평구 통일로 지하723-1,대조동
6호선,독바위,서울특별시 은평구 불광동 13-33 독바위역(6호선),서울특별시 은평구 불광로 지하129-1(불광동),은평구 불광로 지하129-1,불광제1동
6호선,연신내,서울특별시 은평구 갈현동 397 연신내역(6호선),서울특별시 은평구 통일로 지하849(갈현동),은평구 통일로 지하849,불광제2동
6호선,구산,서울특별시 은평구 구산동 1 구산역(6호선),서울특별시 은평구 연서로 지하137-1(구산동),은평구 연서로 지하137-1,구산동
6호선,새절(신사),서울특별시 은평구 신사동 337-5 새절역(6호선),서울특별시 은평구 증산로 지하400(신사동),은평구 증산로 지하400,신사제2동
6호선,증산(명지대앞),서울특별시 은평구 증산동 199-8 증산역(6호선),서울특별시 은평구 증산로 지하306(증산동),은평구 증산로 지하306,증산동
6호선,디지털미디어시티,서울특별시 은평구 증산동 223-25 디지털미디어시티역(6호선),서울특별시 은평구 수색로 지하175(증산동),은평구 수색로 지하175,증산동
